Group,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,ASD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD,TD
Pantoea_ananatis,4.85E-06,7.25E-06,1.22E-05,2.12E-05,1.69E-05,2.34E-05,2.07E-05,1.26E-05,1.77E-05,1.85E-05,2.69E-05,2.45E-05,3.26E-05,2.06E-05,7.89E-06,2.78E-05,1.16E-05,6.65E-06,1.20E-05,3.27E-05,1.98E-05,2.44E-05,2.46E-05,4.91E-05,2.28E-05,6.88E-06,1.76E-05,1.13E-05,3.67E-05,3.45E-05,2.87E-05,3.12E-05,2.08E-05,1.56E-05,1.71E-05,4.91E-05,3.54E-05,3.57E-05
Parvularcula_bermudensis,1.97E-06,1.26E-06,9.15E-07,6.39E-06,3.55E-06,1.03E-05,6.24E-06,4.06E-06,8.60E-06,7.13E-06,1.87E-06,4.38E-06,5.60E-06,5.54E-06,2.42E-06,8.38E-06,1.13E-06,2.10E-06,3.63E-06,1.81E-05,3.96E-06,1.64E-05,4.54E-06,6.20E-06,1.05E-05,2.49E-06,8.07E-07,2.40E-06,2.40E-05,1.17E-05,1.39E-05,9.60E-06,9.03E-06,4.89E-06,6.19E-06,1.42E-05,1.34E-05,1.57E-06
Pediococcus_inopinatus,1.13E-06,3.39E-06,3.83E-06,5.29E-06,4.37E-06,5.62E-06,8.21E-06,6.70E-06,7.72E-06,1.30E-05,8.36E-06,7.44E-06,8.84E-06,6.69E-06,6.39E-06,9.03E-06,4.21E-06,1.58E-06,3.25E-06,1.82E-05,6.40E-06,7.40E-06,1.64E-05,1.71E-05,1.52E-05,2.16E-06,5.29E-06,8.84E-06,8.08E-06,1.37E-05,1.76E-05,1.44E-05,1.27E-05,8.46E-06,6.27E-06,1.42E-05,1.50E-05,7.84E-07
Planctomycetes_bacterium_Pan258,3.52E-06,7.32E-07,1.32E-06,6.83E-06,4.78E-06,3.56E-06,6.31E-06,2.25E-06,2.24E-06,7.38E-06,1.49E-06,2.96E-06,3.25E-06,7.64E-06,8.59E-07,9.03E-07,3.26E-06,3.71E-06,2.63E-06,9.70E-06,1.08E-05,3.92E-06,5.65E-06,1.71E-05,8.16E-06,2.16E-06,1.01E-06,7.60E-07,1.38E-05,8.63E-06,1.71E-05,9.60E-06,9.21E-06,2.09E-06,2.54E-06,1.26E-05,9.71E-06,7.84E-07
Planctomycetes_bacterium_Poly24,1.69E-06,3.13E-06,1.46E-06,4.98E-06,9.15E-06,4.81E-06,7.82E-06,5.01E-06,7.23E-06,1.56E-05,7.04E-06,1.27E-05,9.40E-06,3.44E-06,6.01E-06,9.61E-06,2.01E-06,5.81E-06,8.63E-06,1.65E-05,4.90E-06,1.02E-05,8.22E-06,1.90E-05,1.73E-05,4.91E-06,1.29E-06,6.92E-06,1.81E-05,1.17E-05,1.36E-05,1.23E-05,1.85E-05,7.06E-06,1.05E-05,1.94E-05,1.81E-05,2.00E-06
Polaribacter_sp._Hel1_33_78,1.34E-05,5.99E-06,8.51E-06,1.68E-05,2.55E-05,2.02E-05,1.18E-05,1.06E-05,9.47E-06,1.09E-05,1.38E-05,2.45E-05,4.14E-06,8.79E-06,5.16E-06,3.35E-06,9.48E-06,4.10E-06,1.08E-05,3.53E-05,1.62E-05,2.15E-05,2.88E-05,1.51E-05,2.52E-05,7.80E-06,7.83E-06,9.48E-06,2.71E-05,2.49E-05,2.36E-05,2.59E-05,1.17E-05,1.04E-05,1.75E-05,3.92E-05,3.52E-05,1.22E-05
Pseudomonas_palleroniana,1.48E-06,7.98E-07,2.61E-06,5.38E-06,7.38E-06,5.93E-06,1.23E-06,2.08E-06,6.10E-06,1.02E-05,2.15E-06,6.79E-06,8.51E-06,4.20E-06,1.99E-06,4.00E-06,1.13E-06,5.78E-06,1.63E-06,1.35E-05,4.99E-06,1.15E-05,7.39E-06,1.15E-05,8.44E-06,1.44E-06,1.33E-06,4.60E-06,2.40E-05,7.82E-06,1.57E-05,8.26E-06,6.52E-06,2.30E-06,5.37E-06,2.33E-05,1.43E-05,1.21E-06
Pseudomonas_sp._C27(2019),4.22E-07,2.33E-06,4.20E-06,4.45E-06,6.83E-06,8.87E-06,6.06E-06,3.72E-06,5.11E-06,5.15E-06,7.98E-06,5.47E-06,1.24E-05,8.79E-06,3.71E-06,7.61E-06,1.66E-06,1.74E-06,9.01E-06,1.16E-05,1.38E-05,1.52E-05,4.78E-06,2.44E-05,1.02E-05,2.29E-06,1.57E-06,4.28E-06,1.36E-05,6.59E-06,1.25E-05,1.12E-05,6.92E-06,4.56E-06,1.49E-06,2.62E-05,1.31E-05,3.85E-06
Pseudomonas_sp._URMO17WK12:I11,9.85E-07,3.33E-06,2.64E-06,6.26E-06,5.87E-06,4.87E-06,2.15E-06,2.20E-06,3.74E-06,1.03E-05,3.52E-06,7.88E-06,6.16E-06,8.22E-06,4.14E-06,4.06E-06,3.50E-06,4.18E-06,3.63E-06,1.08E-05,4.61E-06,3.57E-06,5.36E-06,5.17E-06,8.11E-06,6.68E-06,4.00E-06,1.68E-06,1.69E-05,7.95E-06,1.07E-05,1.04E-05,9.95E-06,3.78E-06,8.80E-06,1.01E-05,1.31E-05,2.57E-06
Raoultella_sp._NCTC_9189,3.52E-07,7.32E-07,7.12E-07,2.64E-07,8.20E-07,5.00E-07,8.11E-07,5.63E-08,7.47E-07,4.34E-07,7.15E-07,6.57E-07,1.12E-07,3.82E-07,1.02E-06,1.29E-07,3.56E-07,2.37E-07,1.25E-06,7.80E-07,7.53E-07,7.14E-07,2.46E-06,4.39E-06,2.19E-06,1.97E-07,4.04E-07,5.60E-07,1.50E-06,2.72E-06,1.41E-06,2.13E-06,9.15E-07,1.56E-06,1.49E-06,3.50E-06,2.07E-06,4.99E-07
